time,severity_0.2,severity_0.8
2999,32,0
3000,32,0
3001,32,0
3002,32,0
3003,32,0
3004,32,0
3005,32,0
3006,32,0
3007,32,0
3008,32,0
3009,32,0
3010,32,0
3011,32,0
3012,32,0
3013,31,0
3014,31,0
3015,31,0
3016,31,0
3017,31,0
3018,31,0
3019,31,0
3020,31,0
3021,31,0
3022,31,0
3023,30,0
3024,29,0
3025,29,0
3026,28,0
3027,28,0
3028,27,0
3029,27,0
3030,26,0
3031,25,0
3032,26,0
3033,27,0
3034,27,0
3035,27,0
3036,27,0
3037,26,0
3038,26,0
3039,26,0
3040,26,0
3041,26,0
3042,27,0
3043,27,0
3044,29,0
3045,29,0
3046,28,0
3047,28,0
3048,28,0
3049,28,0
3050,28,0
3051,28,0
3052,28,0
3053,27,0
3054,27,0
3055,27,0
3056,27,0
3057,28,0
3058,28,0
3059,26,0
3060,26,0
3061,25,0
3062,25,0
3063,26,0
3064,26,0
3065,26,0
3066,27,0
3067,27,0
3068,29,0
3069,29,0
3070,29,0
3071,29,0
3072,29,0
3073,29,0
3074,29,0
3075,29,0
3076,29,0
3077,28,0
3078,28,0
3079,27,0
3080,27,0
3081,27,0
3082,27,0
3083,27,0
3084,28,0
3085,29,0
3086,29,0
3087,30,0
3088,30,0
3089,30,0
3090,30,0
3091,29,0
3092,29,0
3093,29,0
3094,29,0
3095,29,0
3096,28,0
3097,28,0
3098,28,0
3800,23,0
3801,23,0
3802,22,0
3803,22,0
3804,22,0
3805,22,0
3806,23,0
3807,23,0
3808,23,0
3809,23,0
3810,23,0
3811,23,0
3812,22,0
3813,23,0
3814,23,0
3815,23,0
3816,23,0
3817,24,0
3818,24,0
3819,23,0
3820,23,0
3821,21,0
3822,21,0
3823,21,0
3824,21,0
3825,21,0
3826,21,0
3827,21,0
3828,22,0
3829,22,0
3830,22,0
3831,22,0
3832,22,0
3833,22,0
3834,22,0
3835,22,0
3836,22,0
3837,21,0
3838,21,0
3839,21,0
3840,22,0
3841,23,0
3842,23,0
3843,23,0
3844,23,0
3845,23,0
3846,21,0
3847,21,0
3848,21,0
3849,21,0
3850,21,0
3851,21,0
3852,21,0
3853,21,0
3854,21,0
3855,21,0
3856,21,0
3857,22,0
3858,23,0
3859,24,0
3860,25,0
3861,26,0
3862,26,0
3863,26,0
3864,25,0
3865,26,0
3866,26,0
3867,26,0
3868,26,0
3869,26,0
3870,26,0
3871,26,0
3872,26,0
3873,26,0
3874,26,0
3875,26,0
3876,26,0
3877,26,0
3878,26,0
3879,27,0
3880,27,0
3881,27,0
3882,27,0
3883,28,0
3884,28,0
3885,28,0
3886,28,0
3887,28,0
3888,28,0
3889,29,0
3890,29,0
3891,31,0
3892,32,0
3893,32,0
3894,31,0
3895,32,0
3896,32,0
3897,33,0
3898,33,0
3899,31,0
4868,44,0
4869,44,0
4870,44,0
4871,44,0
4872,44,0
4873,44,0
4874,45,0
4875,45,0
4876,46,0
4877,45,0
4878,45,0
4879,45,0
4880,45,0
4881,45,0
4882,44,0
4883,45,0
4884,44,0
4885,44,0
4886,44,0
4887,45,0
4888,46,0
4889,46,0
4890,46,0
4891,46,0
4892,46,0
4893,47,0
4894,47,0
4895,47,0
4896,46,0
4897,46,0
4898,46,0
4899,46,0
4900,46,0
4901,46,0
4902,47,0
4903,47,0
4904,47,0
4905,47,0
4906,47,0
4907,47,0
4908,47,0
4909,47,0
4910,46,0
4911,46,0
4912,47,0
4913,47,0
4914,48,0
4915,48,0
4916,48,0
4917,48,0
4918,48,0
4919,48,0
4920,47,0
4921,47,0
4922,47,0
4923,46,0
4924,47,0
4925,47,0
4926,47,0
4927,47,0
4928,47,0
4929,47,0
4930,47,0
4931,48,0
4932,48,0
4933,48,0
4934,47,0
4935,47,0
4936,47,0
4937,47,0
4938,47,0
4939,47,0
4940,47,0
4941,47,0
4942,47,0
4943,47,0
4944,47,0
4945,48,0
4946,48,0
4947,47,0
4948,47,0
4949,47,0
4950,47,0
4951,48,0
4952,49,0
4953,49,0
4954,49,0
4955,50,0
4956,50,0
4957,50,0
4958,50,0
4959,50,0
4960,49,0
4961,49,0
4962,49,0
4963,49,0
4964,49,0
4965,49,0
4966,49,0
4967,49,0
226239,2161,0
226240,2161,0
226241,2161,0
226242,2161,0
226243,2161,0
226244,2161,0
226245,2161,0
226246,2160,0
226247,2159,0
226248,2160,0
226249,2160,0
226250,2160,0
226251,2160,0
226252,2160,0
226253,2161,0
226254,2160,0
226255,2160,0
226256,2160,0
226257,2160,0
226258,2160,0
226259,2160,0
226260,2159,0
226261,2159,0
226262,2159,0
226263,2160,0
226264,2160,0
226265,2160,0
226266,2161,0
226267,2161,0
226268,2161,0
226269,2161,0
226270,2161,0
226271,2161,0
226272,2160,0
226273,2160,0
226274,2160,0
226275,2160,0
226276,2160,0
226277,2161,0
226278,2161,0
226279,2160,0
226280,2159,0
226281,2159,0
226282,2159,0
226283,2159,0
226284,2159,0
226285,2159,0
226286,2159,0
226287,2159,0
226288,2159,0
226289,2159,0
226290,2159,0
226291,2159,0
226292,2159,0
226293,2160,0
226294,2160,0
226295,2159,0
226296,2159,0
226297,2158,0
226298,2157,0
226299,2158,0
226300,2159,0
226301,2160,0
226302,2160,0
226303,2159,0
226304,2159,0
226305,2160,0
226306,2160,0
226307,2160,0
226308,2160,0
226309,2160,0
226310,2161,0
226311,2161,0
226312,2163,0
226313,2163,0
226314,2162,0
226315,2162,0
226316,2162,0
226317,2162,0
226318,2162,0
226319,2162,0
226320,2162,0
226321,2162,0
226322,2161,0
226323,2161,0
226324,2160,0
226325,2160,0
226326,2161,0
226327,2161,0
226328,2161,0
226329,2162,0
226330,2162,0
226331,2162,0
226332,2162,0
226333,2162,0
226334,2162,0
226335,2162,0
226336,2162,0
226337,2162,0
226338,2162,0
