,Warehouse Stock,Distribution Stock
2999,32,115
3000,32,115
3001,32,114
3002,32,114
3003,32,114
3004,32,114
3005,32,114
3006,32,114
3007,32,115
3008,32,115
3009,32,115
3010,32,115
3011,32,116
3012,32,116
3013,31,118
3014,31,118
3015,31,119
3016,31,119
3017,31,119
3018,31,119
3019,31,119
3020,31,119
3021,31,119
3022,31,119
3023,30,119
3024,29,120
3025,29,120
3026,28,121
3027,28,121
3028,27,121
3029,27,121
3030,26,122
3031,25,123
3032,26,123
3033,27,122
3034,27,122
3035,27,122
3036,27,122
3037,26,123
3038,26,123
3039,26,123
3040,26,123
3041,26,123
3042,27,123
3043,27,123
3044,29,123
3045,29,123
3046,28,124
3047,28,124
3048,28,123
3049,28,123
3050,28,123
3051,28,124
3052,28,124
3053,27,124
3054,27,124
3055,27,124
3056,27,123
3057,28,123
3058,28,123
3059,26,125
3060,26,125
3061,25,125
3062,25,125
3063,26,125
3064,26,125
3065,26,124
3066,27,123
3067,27,123
3068,29,123
3069,29,123
3070,29,123
3071,29,123
3072,29,123
3073,29,122
3074,29,121
3075,29,121
3076,29,121
3077,28,123
3078,28,123
3079,27,124
3080,27,124
3081,27,124
3082,27,123
3083,27,123
3084,28,123
3085,29,124
3086,29,124
3087,30,124
3088,30,124
3089,30,123
3090,30,124
3091,29,125
3092,29,125
3093,29,125
3094,29,125
3095,29,125
3096,28,126
3097,28,126
3098,28,126
3800,23,157
3801,23,157
3802,22,158
3803,22,158
3804,22,158
3805,22,158
3806,23,158
3807,23,158
3808,23,158
3809,23,158
3810,23,158
3811,23,158
3812,22,158
3813,23,158
3814,23,158
3815,23,158
3816,23,158
3817,24,158
3818,24,158
3819,23,159
3820,23,159
3821,21,162
3822,21,162
3823,21,162
3824,21,162
3825,21,162
3826,21,161
3827,21,161
3828,22,161
3829,22,161
3830,22,161
3831,22,161
3832,22,160
3833,22,160
3834,22,160
3835,22,160
3836,22,160
3837,21,161
3838,21,161
3839,21,161
3840,22,161
3841,23,161
3842,23,161
3843,23,161
3844,23,161
3845,23,161
3846,21,163
3847,21,163
3848,21,163
3849,21,164
3850,21,164
3851,21,164
3852,21,164
3853,21,164
3854,21,164
3855,21,164
3856,21,164
3857,22,164
3858,23,163
3859,24,163
3860,25,163
3861,26,163
3862,26,163
3863,26,164
3864,25,165
3865,26,165
3866,26,164
3867,26,164
3868,26,164
3869,26,164
3870,26,164
3871,26,163
3872,26,163
3873,26,163
3874,26,163
3875,26,163
3876,26,163
3877,26,163
3878,26,162
3879,27,162
3880,27,162
3881,27,162
3882,27,162
3883,28,162
3884,28,162
3885,28,162
3886,28,162
3887,28,162
3888,28,161
3889,29,161
3890,29,161
3891,31,161
3892,32,161
3893,32,162
3894,31,163
3895,32,163
3896,32,163
3897,33,162
3898,33,163
3899,31,165
4868,44,238
4869,44,238
4870,44,238
4871,44,238
4872,44,238
4873,44,238
4874,45,238
4875,45,238
4876,46,238
4877,45,239
4878,45,239
4879,45,239
4880,45,239
4881,45,239
4882,44,240
4883,45,240
4884,44,241
4885,44,241
4886,44,241
4887,45,241
4888,46,241
4889,46,241
4890,46,241
4891,46,241
4892,46,242
4893,47,242
4894,47,242
4895,47,242
4896,46,242
4897,46,241
4898,46,241
4899,46,241
4900,46,241
4901,46,241
4902,47,241
4903,47,241
4904,47,241
4905,47,241
4906,47,241
4907,47,242
4908,47,242
4909,47,242
4910,46,242
4911,46,242
4912,47,242
4913,47,242
4914,48,242
4915,48,242
4916,48,242
4917,48,243
4918,48,243
4919,48,243
4920,47,243
4921,47,243
4922,47,243
4923,46,243
4924,47,243
4925,47,243
4926,47,243
4927,47,243
4928,47,244
4929,47,245
4930,47,245
4931,48,245
4932,48,245
4933,48,246
4934,47,248
4935,47,248
4936,47,248
4937,47,248
4938,47,248
4939,47,248
4940,47,248
4941,47,248
4942,47,248
4943,47,248
4944,47,249
4945,48,249
4946,48,249
4947,47,250
4948,47,249
4949,47,249
4950,47,250
4951,48,251
4952,49,251
4953,49,251
4954,49,251
4955,50,250
4956,50,250
4957,50,250
4958,50,250
4959,50,250
4960,49,250
4961,49,250
4962,49,250
4963,49,251
4964,49,252
4965,49,252
4966,49,252
4967,49,252
226239,2161,16063
226240,2161,16062
226241,2161,16062
226242,2161,16061
226243,2161,16060
226244,2161,16060
226245,2161,16060
226246,2160,16061
226247,2159,16060
226248,2160,16060
226249,2160,16060
226250,2160,16060
226251,2160,16060
226252,2160,16060
226253,2161,16060
226254,2160,16061
226255,2160,16060
226256,2160,16060
226257,2160,16062
226258,2160,16062
226259,2160,16061
226260,2159,16062
226261,2159,16062
226262,2159,16062
226263,2160,16062
226264,2160,16063
226265,2160,16064
226266,2161,16064
226267,2161,16063
226268,2161,16063
226269,2161,16063
226270,2161,16063
226271,2161,16063
226272,2160,16063
226273,2160,16063
226274,2160,16063
226275,2160,16063
226276,2160,16064
226277,2161,16064
226278,2161,16064
226279,2160,16065
226280,2159,16066
226281,2159,16066
226282,2159,16066
226283,2159,16066
226284,2159,16066
226285,2159,16066
226286,2159,16066
226287,2159,16066
226288,2159,16066
226289,2159,16066
226290,2159,16066
226291,2159,16067
226292,2159,16067
226293,2160,16067
226294,2160,16067
226295,2159,16068
226296,2159,16068
226297,2158,16069
226298,2157,16070
226299,2158,16070
226300,2159,16070
226301,2160,16070
226302,2160,16070
226303,2159,16071
226304,2159,16071
226305,2160,16071
226306,2160,16071
226307,2160,16071
226308,2160,16071
226309,2160,16071
226310,2161,16071
226311,2161,16071
226312,2163,16071
226313,2163,16069
226314,2162,16070
226315,2162,16070
226316,2162,16070
226317,2162,16070
226318,2162,16069
226319,2162,16069
226320,2162,16069
226321,2162,16069
226322,2161,16070
226323,2161,16069
226324,2160,16070
226325,2160,16070
226326,2161,16070
226327,2161,16070
226328,2161,16070
226329,2162,16070
226330,2162,16070
226331,2162,16070
226332,2162,16070
226333,2162,16069
226334,2162,16069
226335,2162,16069
226336,2162,16069
226337,2162,16070
226338,2162,16070
